Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,16340.20,18833.47,413000.00,200,0,128,0,135,0,84,0,6,0.7450759681616641,852
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,1070850.80,295557.17,1512250.00,4318,0,4767,0,2693,0,578,0,37,0.8495582093523733,6252
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,237538.03,181925.58,2406250.00,3008,0,472,0,5983,0,778,0,45,0.8789527794139302,9648
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,58622.92,83709.75,13940000.00,1212,123,0,342,1015,59,798,18,31,0.9603982838931884,8268
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,299454.41,237276.62,16763400.00,2488,0,1648,0,1323,0,664,0,30,0.8858130730088315,9396
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,62006.67,67410.00,15093600.00,1112,260,0,543,1179,178,650,20,26,0.9438214324488363,8004
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,92565.53,88075.00,18526000.00,1575,160,0,971,1158,51,915,31,37,0.8832679345047924,9348
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,84237.09,77340.00,19664400.00,1389,171,0,425,1104,47,763,28,28,0.9622291162248718,9396
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,48676.00,28820.00,16451600.00,600,752,0,377,273,818,553,34,24,0.9161983885322946,7512
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,654040.90,0.00,0,1910,0,746,0,1585,0,754,17,0.9356741095810076,10080
