Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,25827.40,8400.00,1474000.00,265,0,0,0,50,0,301,0,20,0.4572484055862612,3756
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,335375.61,23142.65,5555750.00,1881,0,47,0,362,0,2203,0,138,0.9117112546909478,22932
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,339183.07,152710.86,10627500.00,3580,0,36,0,67,0,4383,0,114,0.7626289050749525,49248
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,399013.20,346472.47,124679700.00,5773,0,0,41,44,0,6839,0,167,0.974225657051159,73920
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,336768.64,245115.31,98616600.00,4387,0,32,0,34,0,5390,0,123,0.9709530989100413,55320
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,404953.55,268590.00,124185900.00,5216,0,0,41,48,0,6379,0,149,0.9739693979521794,65928
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,415288.04,251875.00,130344000.00,5167,0,0,19,69,0,6109,0,141,0.9767569668074707,65676
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,444181.78,231480.00,139692000.00,5232,0,0,28,28,0,6454,0,151,0.9757697143348316,67128
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,433099.64,187385.00,133128600.00,4804,73,0,30,2,26,6047,0,137,0.9739081067860009,61056
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,616056.70,0.00,0,3400,0,11,0,27,0,3830,83,1.2789936485150908,40452
