Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,15167.01,1869.17,476000.00,81,0,5,0,9,0,105,0,12,0.6239710096815226,1236
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,337611.20,31925.84,5305750.00,2098,0,32,0,457,0,2120,0,152,0.8999130930521447,22080
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,328016.60,155002.17,11446000.00,3688,0,8,0,23,0,4761,0,113,0.8277091563534019,50208
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,381362.28,335217.25,122114400.00,5558,0,0,45,59,0,6560,0,152,0.9751553421800268,72420
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,442367.05,315717.22,127297800.00,5703,0,45,0,180,0,6886,0,163,0.971989203895741,71280
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,361197.55,234850.00,110492600.00,4616,0,0,20,82,0,5648,0,133,0.9731698482658746,58656
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,386325.24,238680.00,127258000.00,4839,0,0,23,48,0,5584,0,127,0.9780431424705366,64116
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,496281.43,274080.00,158203500.00,5996,0,0,74,284,0,6705,0,152,0.9749803779074809,75900
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,415806.84,178200.00,128803400.00,4599,158,0,31,17,156,5807,0,141,0.9693184119189534,59112
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,669039.49,0.00,0,2859,0,30,0,106,0,3452,75,1.2146395426853598,33336
