Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,21569.19,6586.23,992500.00,179,0,2,0,61,0,179,0,19,0.5830182560417203,2580
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,325715.30,27729.19,4773250.00,1828,0,55,0,449,0,1920,0,149,0.8955727516501232,19920
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,309814.91,154074.66,10830250.00,3556,0,26,0,117,0,4235,0,108,0.7259930481332202,48648
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,394431.00,321321.39,119231200.00,5586,0,0,28,181,0,6774,0,164,0.9717752556554193,70764
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,412659.83,290025.16,117979200.00,5278,0,26,0,193,0,6334,0,150,0.9724298355085594,66132
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,381717.75,247730.00,113908800.00,4913,1,0,22,143,0,6021,1,148,0.9703966022168061,60492
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,412472.48,249730.00,128418000.00,5183,0,0,36,215,0,6139,0,142,0.9732393284293851,64716
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,401905.86,198300.00,121277100.00,4691,0,0,33,168,0,5824,0,137,0.9727190206737862,58356
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,418450.24,190410.00,134552000.00,4714,124,0,29,7,167,5802,0,131,0.9747506957114712,61680
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,624750.53,0.00,0,3805,0,15,0,181,0,4308,90,1.2663114909826196,45732
