Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,14978.28,2200.00,780000.00,133,0,0,0,25,0,164,0,15,0.576345923142445,2052
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,256850.89,18554.76,4887000.00,1659,0,36,0,214,0,1978,0,146,0.8993359796014201,20304
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,326162.07,152597.33,11213250.00,3551,0,13,0,47,0,4371,0,109,0.8091398009827013,49776
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,386787.64,321887.37,118537600.00,5492,0,0,32,34,0,6813,0,165,0.972276973573481,70404
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,446469.73,306326.06,133252200.00,5664,0,24,0,59,0,6914,0,160,0.975402955401088,74664
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,395537.85,258580.00,124909800.00,5068,0,0,12,30,0,6135,0,140,0.9774196813770597,66360
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,486867.76,265980.00,147512000.00,5832,0,0,33,39,0,7218,0,167,0.971093265963276,74472
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,327653.62,165660.00,101963400.00,3825,0,0,19,52,0,4736,0,112,0.9740273733411808,49032
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,387227.76,172810.00,126090800.00,4336,22,0,14,0,18,5108,0,118,0.9759527968097174,57708
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,532029.55,0.00,0,3081,0,10,0,35,0,3634,79,1.2210925822246403,38148
