Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,32727.90,6846.39,1054000.00,199,0,8,0,69,0,240,0,20,0.3506706654548838,2952
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,258772.22,22118.75,4971500.00,1680,0,44,0,272,0,1986,0,138,0.9066598764474642,20688
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,380616.96,188287.08,13279750.00,4185,0,26,0,36,0,5038,0,125,0.7566244111949233,59964
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,366364.16,328000.00,120506200.00,5376,0,0,23,25,0,6245,0,151,0.9769649088952996,71460
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,350427.16,233542.07,97455600.00,4406,0,31,0,31,0,5651,0,135,0.9648462228290742,54660
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,375035.24,249970.00,117615700.00,4839,0,0,26,45,0,5805,0,137,0.9751053864996968,62412
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,442476.56,253825.00,136946000.00,5391,0,0,39,58,0,6595,0,154,0.9717905269591276,69132
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,413586.32,206640.00,130708200.00,4802,0,0,23,36,0,5982,0,137,0.9734272134013102,62892
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,436402.80,187440.00,131771200.00,4830,11,0,23,18,29,6096,0,145,0.9730330824550865,60396
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,489571.26,0.00,0,2920,0,25,0,37,0,3708,80,1.4358653600974314,32220
