Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,35051.35,11867.44,1034000.00,216,0,9,0,84,0,187,0,16,0.5141531240286857,2604
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,326685.88,51197.66,4232000.00,2293,0,41,0,491,0,1748,0,137,0.8958047005592209,17676
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,260806.59,133285.37,9674500.00,2994,0,13,0,31,0,3558,0,86,0.8320191806318604,40956
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,384785.24,304800.00,113857500.00,5339,35,0,32,46,0,6701,10,161,0.9722737636501503,67584
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,437390.82,292619.33,126244800.00,5499,0,14,0,27,0,6970,0,158,0.9757260559167044,70776
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,420884.44,284200.00,132865100.00,5459,119,0,14,29,0,6553,16,150,0.9769758472539429,70596
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,409884.24,250640.00,130764000.00,5114,152,0,18,24,0,6032,32,142,0.976229304098199,65916
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,381121.36,206040.00,121149000.00,4546,222,0,35,69,0,5194,51,126,0.9716709269268664,58176
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,461725.16,197120.00,145026200.00,5101,92,0,26,0,28,6381,13,144,0.9730319668262816,66480
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,633160.07,0.00,0,3541,0,27,0,57,0,4060,98,1.1446116747548556,42816
